Removed Pin From Net: NetName=NetJ_5v_in_+_1 Pin=J_main-1
Removed Pin From Net: NetName=NetJ_5v_in_-_1 Pin=J_main-2
Change Component Footprint: Designator=J_main Old Footprint=PHOE-1714955_V New Footprint=FP-38969-0002-MFG
Change Component Comment : Designator=J_main Old Comment=1714955 New Comment=38969-0002
Change Managed Component Library Link : Designator=J_main Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9A2224CE-E6A1-4697-97B0-BA74C68A54A9 New ItemGUID=EC39BBD6-D36F-4729-ADCF-C0A5BDE4FA11 Old RevisionGUID=20C6CDE6-55B0-408A-A534-FBF9D64DEC67 New RevisionGUID=DB8552AF-41EA-4199-9D41-B300BFBA1A91
Change component parameters: Designator = "J_main" ("J_main"); Footprint = "PHOE-1714955_V"; UniqueID = "\BBJVAHHU" ("\BBJVAHHU")
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Terminal Block"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Country of Origin"; Value = "US"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "50A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Production"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Lifecycle Status"; Value = "ACTIVE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "120°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Voltage Rating (AC)"; Value = "600V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NexarPartId"; Value = "12872391"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "12.7mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Screw"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "600V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Gauge (Max)"; Value = "8AWG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Gauge (Min)"; Value = "20AWG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire/Cable Gauge"; Value = "18AWG"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetJ_5v_in_-_1 Pin=J_main-1
Added Pin To Net: NetName=NetJ_5v_in_+_1 Pin=J_main-2
